train_loss,train_acc,val_loss,val_acc
0.5006541281792463,0.8135212418300654,0.37555378336155437,0.8624288425047438
0.4227724614023578,0.8429330065359477,0.3375279159202069,0.8851992409867173
0.3950491223995592,0.8541666666666667,0.3105208871203989,0.8927893738140418
0.3618641638690058,0.8656045751633987,0.3278448450497477,0.8851992409867173
0.3623524608419222,0.8649918300653595,0.32132374069722375,0.8823529411764706
0.3479566618288849,0.8703022875816994,0.3084110043646036,0.8861480075901328
0.33025012168960244,0.8758169934640523,0.29143084232223554,0.8975332068311196
0.34296779464199845,0.875,0.2958008613599998,0.8946869070208728
0.3231438627722217,0.8786764705882353,0.3188316161537532,0.8889943074003795
0.32152919894924353,0.8864379084967321,0.31766497489397166,0.8908918406072106
0.3182843996978858,0.883374183006536,0.2663050762446601,0.9079696394686907
0.3250626078715511,0.8821486928104575,0.2751210294310463,0.9022770398481974
0.308608502478284,0.8852124183006537,0.26315480979615413,0.9041745730550285
0.3312455541728174,0.8821486928104575,0.3111292579312026,0.8814041745730551
0.31882463640295994,0.8815359477124183,0.31520644158294575,0.8918406072106262
0.3300294513248053,0.8788807189542484,0.3025391183129072,0.9003795066413662
0.3157793795507328,0.8843954248366014,0.2711645841768163,0.9070208728652751
0.2889911045557728,0.8895016339869282,0.25142078274115215,0.9165085388994307
0.29316231842134516,0.8939950980392157,0.24565215411629576,0.9184060721062619
0.2802539470915993,0.8968545751633987,0.240880690430215,0.9165085388994307
0.29943497485353376,0.8939950980392157,0.27518735500140934,0.9089184060721063
0.18346263752684144,0.9340277777777778,0.13282223873589705,0.9544592030360531
0.13844020614245287,0.9507761437908497,0.11232553646180503,0.9601518026565465
0.10842192678155341,0.9660947712418301,0.10580304323782194,0.9629981024667932
0.0980685821759478,0.9648692810457516,0.11187205048263836,0.9573055028462998
0.07322203946601161,0.9761029411764707,0.08689418610625421,0.976280834914611
0.08723097637651817,0.9736519607843137,0.06534968182114104,0.9810246679316889
0.06205316869012427,0.979779411764706,0.0863688803459933,0.9734345351043644
0.06311095833057064,0.9814133986928105,0.10268625608986452,0.9705882352941176
0.06169985687615825,0.9783496732026145,0.07161058319212986,0.9781783681214421
0.03709135851628768,0.9879493464052288,0.08058470096951616,0.9838709677419355
0.029740571313738532,0.9908088235294118,0.04718371821908489,0.9886148007590133
0.024763729668669767,0.9938725490196079,0.05526054461939045,0.9857685009487667
0.022215426521142945,0.9926470588235294,0.05249383738105392,0.9848197343453511
0.018006126923222943,0.9946895424836601,0.047465855980502264,0.9857685009487667
0.020099630084872592,0.9948937908496732,0.051485188429966654,0.9848197343453511
0.01974073549183017,0.9946895424836601,0.05319072588071213,0.9876660341555977
0.010538255443166503,0.9977532679738562,0.0513088643904095,0.9886148007590133
0.011466065786925017,0.9973447712418301,0.05738184719405665,0.9886148007590133
0.015212360166033785,0.9944852941176471,0.046207463694382916,0.9895635673624289
0.011274529546818823,0.9967320261437909,0.04500249255801139,0.9895635673624289
0.009976068483928091,0.9967320261437909,0.053592059702415415,0.9867172675521821
0.009588212109948098,0.9973447712418301,0.04850980189115965,0.9905123339658444
0.006297318632420559,0.9985702614379085,0.04798793163684248,0.9905123339658444
0.007810456792617961,0.9975490196078431,0.04511842440733813,0.99146110056926
0.007729304419412716,0.9981617647058824,0.04647041211259044,0.9933586337760911
0.00599998101981827,0.9985702614379085,0.05040627336772371,0.99146110056926
0.006387666879591587,0.9987745098039216,0.04911443913949475,0.99146110056926
0.008004011588377134,0.9979575163398693,0.0529784584670651,0.9905123339658444
0.006177688739233988,0.9985702614379085,0.046991863720732226,0.9924098671726755
